Place Name,Location,Category,Description,Rating,State,latitude,longitude,Entities
Diphu,Karbi Anglong,City,"Diphu is a charming town situated in the Karbi Anglong district. It is known for its natural beauty, tribal culture, and festivals. Diphu offers attractions such as the Botanical Garden, Semson Sing Ingti Memorial, and opportunities for trekking in the nearby hills.",4.1,assam,25.84,93.4365, Karbi Anglong the Botanical Garden
Hollongapar Gibbon Wildlife Sanctuary,Jorhat,Wildlife Sanctuary,"Hollongapar Gibbon Wildlife Sanctuary is located in Jorhat district and is known for its conservation of the hoolock gibbons, the only ape species found in India. The sanctuary is also home to various bird species, reptiles, and butterflies. It offers nature trails and wildlife sighting opportunities.",4.2,assam,26.7487,94.2626, Hollongapar Gibbon Sanctuary Jorhat district India
Kamakhya Temple,Guwahati,Hindu Temple,"Kamakhya Temple is a renowned Hindu temple located on the Nilachal Hill in Guwahati. It is dedicated to the goddess Kamakhya and is one of the most important pilgrimage sites in Assam. The temple architecture, rituals, and the annual Ambubachi Mela attract devotees and tourists from across the country.",4.6,assam,26.1661,91.7692, Kamakhya Temple Hindu the Nilachal Hill Guwahati Kamakhya Assam annual Ambubachi Mela
Manas National Park,Chirang and Baksa,Wildlife Sanctuary,"Manas National Park is a UNESCO World Heritage Site located in Chirang and Baksa districts. It is known for its exceptional biodiversity, including the endangered Bengal tiger, Indian rhinoceros, and pygmy hog. The park offers jeep safaris, elephant rides, and birdwatching, allowing visitors to experience its natural splendor.",4.5,assam,26.7205,91.009, Manas National Park UNESCO World Heritage Site Chirang Baksa Bengal Indian safaris
Sivasagar,Sivasagar,Historical,"Sivasagar, also known as Rangpur, is a historic town known for its rich Ahom architecture and monuments. It was the capital of the Ahom Kingdom and features attractions such as the Sivasagar Sivadol, Rang Ghar, and Talatal Ghar. Sivasagar showcases the cultural heritage and grandeur of the Ahom dynasty.",4.4,assam,26.984,94.6406, Rangpur the Ahom Kingdom Sivasagar Sivadol Rang Ghar Talatal Ghar the Ahom dynasty
Kakochang Waterfalls,Jorhat,Waterfall,"Kakochang Waterfalls is a captivating waterfall located near Jorhat. It is known for its scenic beauty, cascading water, and tranquil surroundings. The waterfall offers a refreshing retreat amidst nature and is an ideal spot for picnics and photography.",4.4,assam,26.6639,93.215, Kakochang Waterfalls Jorhat
Dibru-Saikhowa National Park,Dibrugarh and Tinsukia,Wildlife Sanctuary,"Dibru-Saikhowa National Park is a biodiversity hotspot located in Dibrugarh and Tinsukia districts. It is known for its unique combination of wetland and forest ecosystems. The park is home to several rare and endangered species, including the white-winged wood duck and the Bengal florican.",4.5,assam,27.3333,95.55, Dibru-Saikhowa National Park Dibrugarh Tinsukia Bengal
Hajo,Hajo,Historical,"Hajo is a historic town located on the banks of the Brahmaputra River. It is known for its religious significance and houses several important temples, including the Hayagriva Madhava Temple, Powa Mecca Mosque, and Kedareswara Temple. Hajo is considered a sacred placefor Hindus, Muslims, and Buddhists, making it a unique cultural and religious hub.",4.3,assam,26.2504,91.4234, Hajo the Brahmaputra River the Hayagriva Madhava Temple Powa Mecca Mosque Kedareswara Temple Hindus Muslims Buddhists
Tinsukia,Tinsukia,City,"Tinsukia is a bustling city located in the Tinsukia district. It serves as an important commercial and industrial hub in Assam. Tinsukia offers attractions such as the Dibru-Saikhowa National Park, Shiv Dham Temple, and the historic Digboi town known for its oil reserves.",4.2,assam,27.5001,95.3559, Tinsukia Tinsukia Assam Tinsukia the Dibru-Saikhowa National Park Dham Temple Digboi
Dibrugarh,Dibrugarh,City,"Dibrugarh is a vibrant city located in the Dibrugarh district. It is known as the 'Tea City of India' due to its significant contribution to the tea industry. Dibrugarh offers attractions such as the Brahmaputra Riverfront, Namdang Stone Bridge, and the scenic Dibru-Saikhowa National Park.",4.3,assam,27.4728,94.9119, Dibrugarh Dibrugarh Tea City India the Brahmaputra Riverfront Namdang Stone Bridge Dibru-Saikhowa National Park
Pobitora Wildlife Sanctuary,Morigaon,Wildlife Sanctuary,Pobitora Wildlife Sanctuary is located in the Morigaon district and is known for its dense population of the Indian one-horned rhinoceros. The sanctuary also houses various other animals and bird species. Visitors can enjoy jeep safaris and elephant rides to observe the wildlife in their natural habitat.,4.4,assam,26.4249,92.2356, Pobitora Wildlife Sanctuary Morigaon Indian one safaris
Jorhat,Jorhat,City,"Jorhat is a cultural and educational hub located in the Jorhat district. It is known for its tea gardens, historical sites, and vibrant art and literature scene. Jorhat offers attractions such as the Majuli Island, Kaziranga Golf Resort, and the Tocklai Tea Research Institute.",4.2,assam,26.757,94.2094, the Majuli Island Kaziranga Golf Resort the Tocklai Tea Research Institute
Tezpur,Tezpur,City,"Tezpur is a historic city located on the banks of the Brahmaputra River. It is known for its ancient ruins, temples, and natural beauty. Tezpur offers attractions such as Agnigarh Hill, Da Parbatia Temple ruins, and the scenic Kalia Bhomora Bridge.",4.3,assam,26.6333,92.8, Tezpur the Brahmaputra River Agnigarh Hill Da Parbatia Temple Kalia Bhomora Bridge
Barpeta Satra,Barpeta,Historical Site,Barpeta Satra is a famous Vaishnavite monastery located in Barpeta. It is one of the prominent Satras (monastic institutions) of Assam and holds cultural and religious significance. Barpeta Satra showcases the rich tradition of the Vaishnavite and offers insights into Assamese religious practices and art forms.,4.2,assam,26.321,91.0037, Barpeta Satra Vaishnavite Barpeta Satras Barpeta Satra Vaishnavite Assamese
Gangtok,Gangtok,City,"Gangtok is the capital city of Sikkim and a popular tourist destination. It offers stunning views of the Himalayas, vibrant markets, and Buddhist monasteries. Visitors can explore attractions like the Rumtek Monastery, Tsomgo Lake, and the Enchey Monastery.",4.5,sikkim,27.3389,88.6065," Sikkim Himalayas Buddhist the Rumtek Monastery, Tsomgo Lake the Enchey Monastery"
Tsomgo Lake,East Sikkim,Lake,"Tsomgo Lake, also known as Changu Lake, is a glacial lake located at an altitude of 3,753 meters. It is known for its serene beauty and changing colors throughout the year. Visitors can enjoy boating on the lake and take in the picturesque surroundings.",4.5,sikkim,27.3782,88.7998," Tsomgo Lake Changu Lake 3,753 meters the year"
Yumthang Valley,North Sikkim,Valley,"Yumthang Valley, also known as the Valley of Flowers, is a picturesque valley nestled in the Himalayas. It is renowned for its colorful alpine flowers that bloom during the spring season. Visitors can enjoy the scenic landscapes, hot springs, and panoramic views of snow-capped mountains.",4.5,sikkim,27.8136,88.6332, Yumthang Valley the Valley of Flowers Himalayas the spring season
Pelling,West Sikkim,Hill Station,"Pelling is a charming hill station located in West Sikkim. It offers breathtaking views of the Kanchenjunga mountain range and is known for its tranquil ambiance. Visitors can explore attractions like the Pemayangtse Monastery, Khecheopalri Lake, and the Rabdentse Ruins.",4.3,sikkim,27.3232,88.2666, West Sikkim Kanchenjunga the Pemayangtse Monastery Khecheopalri Lake
Gurudongmar Lake,North Sikkim,Lake,"Gurudongmar Lake is a sacred high-altitude lake located at an altitude of 5,430 meters. It is one of the highest lakes in the world and remains frozen during the winter months. The lake offers mesmerizing views of the surrounding snow-capped peaks and is considered holy by both Buddhists and Sikhs.",4.6,sikkim,28.0003,88.827," Gurudongmar Lake 5,430 meters the winter months Buddhists Sikhs"
Ravangla,South Sikkim,Hill Station,"Ravangla is a serene hill station located in South Sikkim. It is known for its panoramic views of the Himalayas, lush greenery, and peaceful environment. Visitors can explore attractions like the Buddha Park, Tathagata Tsal, and the Ralong Monastery.",4.3,sikkim,27.3142,88.3689, South Sikkim Himalayas greenery the Buddha Park Tathagata Tsal the Ralong Monastery
Namchi,South Sikkim,City,"Namchi is a vibrant city located in South Sikkim. It is known for its religious and cultural significance. Visitors can visit attractions like the Char Dham, Samdruptse Hill, and the Namchi Rock Garden for a peaceful retreat and panoramic views of the surrounding landscapes.",4.2,sikkim,27.167,88.3665, Namchi South Sikkim the Char Dham Samdruptse Hill the Namchi Rock Garden
Khangchendzonga National Park,North and West Sikkim,National Park,"Khangchendzonga National Park is a UNESCO World Heritage Site and one of the most bio-diverse areas in the Eastern Himalayas. It is home to various endangered species, including the snow leopard and red panda. Visitors can enjoy trekking, wildlife spotting, and marvel at the stunning landscapes.",4.5,sikkim,27.7819,88.7726, Khangchendzonga National Park UNESCO World Heritage Site one the Eastern Himalayas
Tsongmo Lake,East Sikkim,Lake,"Tsongmo Lake, also known as Changu Lake, is a glacial lake located at an altitude of 3,753 meters. It is known for its serene beauty and changing colors throughout the year. Visitors can enjoy boating on the lake and take in the picturesque surroundings.",4.3,sikkim,27.3782,88.7998," Tsongmo Lake Changu Lake 3,753 meters the year"
Khecheopalri Lake,West Sikkim,Lake,Khecheopalri Lake is a sacred lake located in West Sikkim. It is considered as one of the holy lakes of Sikkim and is revered by both Buddhists and Hindus. The lake is surrounded by lush green forests and offers a tranquil atmosphere for visitors to experience.,4.2,sikkim,27.383,88.2879, Khecheopalri Lake West Sikkim Sikkim Buddhists Hindus
Chungthang,North Sikkim,Town,"Chungthang is a small town located in North Sikkim. It is a significant stopover for tourists heading towards Lachung and Lachen. Chungthang offers scenic views of the Teesta River, and visitors can explore the Lepcha Heritage Museum and the Chungthang Monastery.",4.1,sikkim,27.7026,88.3503, Chungthang North Sikkim Lachung Chungthang the Teesta River the Lepcha Heritage Museum the Chungthang Monastery
Singalila National Park,West Sikkim,National Park,"Singalila National Park is located in the Singalila Range of the Himalayas, spanning across Sikkim and West Bengal. It offers breathtaking views of the Kanchenjunga mountain range and
Ravangla,South Sikkim,Hill Station,Ravangla is a serene hill station located in South Sikkim. It is known for its panoramic views of the Himalayas""",4.3,sikkim,27.3142,88.3689, Singalila National Park the Singalila Range Himalayas Sikkim West Bengal Kanchenjunga Ravangla South Sikkim Hill Station Ravangla South Sikkim Himalayas
Namchi,South Sikkim,City,"Namchi is a vibrant city located in South Sikkim. It is known for its religious and cultural significance. Visitors can visit attractions like the Char Dham, Samdruptse Hill, and the Namchi Rock Garden for a peaceful retreat and panoramic views of the surrounding landscapes.",4.2,sikkim,27.167,88.3665, Namchi South Sikkim the Char Dham Samdruptse Hill the Namchi Rock Garden
Khangchendzonga National Park,North and West Sikkim,National Park,"Khangchendzonga National Park is a UNESCO World Heritage Site and one of the most bio-diverse areas in the Eastern Himalayas. It is home to various endangered species, including the snow leopard and red panda. Visitors can enjoy trekking, wildlife spotting, and marvel at the stunning landscapes.",4.5,sikkim,27.7819,88.7726, Khangchendzonga National Park UNESCO World Heritage Site one the Eastern Himalayas
Tsongmo Lake,East Sikkim,Lake,"Tsongmo Lake, also known as Changu Lake, is a glacial lake located at an altitude of 3,753 meters. It is known for its serene
Temi Tea Garden,South Sikkim,Tea Garden,Temi Tea Garden is the only tea estate in Sikkim and one of the most scenic tea gardens in India. It offers picturesque views of tea plantations",4.4,sikkim,27.2304,88.4584," Tsongmo Lake Changu Lake 3,753 meters Temi Tea Garden South Sikkim Tea Garden Temi Tea Garden Sikkim one India"
Rinchenpong,West Sikkim,Hill Station,"Rinchenpong is a picturesque hill station located in West Sikkim. It offers stunning views of the Himalayas, lush forests, and serene surroundings. Visitors can explore attractions like the Rinchenpong Monastery, Tashiding Monastery, and enjoy nature walks in the surrounding areas.",4.2,sikkim,27.2419,88.2663," West Sikkim Himalayas the Rinchenpong Monastery, Tashiding Monastery"
Kabi Longstok,South Sikkim,Historical Site,Kabi Longstok is a historic site located in South Sikkim. It is known for its historical significance as it marks the signing of a blood brotherhood treaty between the Lepcha and Bhutia tribes. Visitors can visit the Kabi Longstok Kangchendzonga Ecological Park and learn about Sikkim's history.,4.1,sikkim,27.2373,88.3843, South Sikkim Lepcha Bhutia Sikkim
Seven Sisters Waterfalls,North Sikkim,Waterfall,"Seven Sisters Waterfalls, also known as Naga Falls, is a stunning waterfall located in North Sikkim. It is a collection of seven different waterfalls that cascade down the mountainside. Visitors can witness the beauty of these waterfalls and enjoy the natural surroundings.",4.2,sikkim,27.7412,88.4526, Seven Sisters Waterfalls Naga Falls North Sikkim seven
Chopta Valley,North Sikkim,Valley,"Chopta Valley is a hidden gem in North Sikkim, known for its enchanting beauty and tranquility. It is surrounded by snow-capped mountains, alpine flowers, and gushing rivers. Visitors can soak in the natural beauty, go for nature walks, and capture stunning photographs.",4.5,sikkim,28.0637,88.6015, Chopta Valley North Sikkim
Rinchenpong,West Sikkim,Hill Station,"Rinchenpong is a picturesque hill station located in West Sikkim. It offers stunning views of the Himalayas, lush forests, and serene surroundings. Visitors can explore attractions like the Rinchenpong Monastery, Tashiding Monastery, and enjoy nature walks in the surrounding areas.",4.2,sikkim,27.2419,88.2663," West Sikkim Himalayas the Rinchenpong Monastery, Tashiding Monastery"
Kabi Longstok,South Sikkim,Historical Site,Kabi Longstok is a historic site located in South Sikkim. It is known for its historical significance as it marks the signing of a blood brotherhood treaty between the Lepcha and Bhutia tribes. Visitors can visit the Kabi Longstok Kangchendzonga Ecological Park and learn about Sikkim's history.,4.1,sikkim,27.2373,88.3843, South Sikkim Lepcha Bhutia Sikkim
Seven Sisters Waterfalls,North Sikkim,Waterfall,"Seven Sisters Waterfalls, also known as Naga Falls, is a stunning waterfall located in North Sikkim. It is a collection of seven different waterfalls that cascade down the mountainside. Visitors can witness the beauty of these waterfalls and enjoy the natural surroundings.",4.2,sikkim,27.7412,88.4526, Seven Sisters Waterfalls Naga Falls North Sikkim seven
Chopta Valley,North Sikkim,Valley,"Chopta Valley is a hidden gem in North Sikkim, known for its enchanting beauty and tranquility. It is surrounded by snow-capped mountains, alpine flowers, and gushing rivers. Visitors can soak in the natural beauty, go for nature walks, and capture stunning photographs.",4.5,sikkim,28.0637,88.6015, Chopta Valley North Sikkim
Ravangla,South Sikkim,Hill Station,"Ravangla is a serene hill station located in South Sikkim. It is known for its panoramic views of the Himalayas, lush greenery, and peaceful environment. Visitors can explore attractions like the Buddha Park, Tathagata Tsal, and the Ralong Monastery.",4.3,sikkim,27.3142,88.3689, South Sikkim Himalayas greenery the Buddha Park Tathagata Tsal the Ralong Monastery
Namchi,South Sikkim,City,"Namchi is a vibrant city located in South Sikkim. It is known for its religious and cultural significance. Visitors can visit attractions like the Char Dham, Samdruptse Hill, and the Namchi Rock Garden for a peaceful retreat and panoramic views of the surrounding landscapes.",4.2,sikkim,27.167,88.3665, Namchi South Sikkim the Char Dham Samdruptse Hill the Namchi Rock Garden
Baga Beach,Calangute,Beach,"Baga Beach is one of the most popular beaches in Goa. It offers a vibrant atmosphere with beach shacks, water sports, and a lively nightlife. Visitors can relax on the sandy shores, enjoy water activities, and experience the bustling beach vibe.",4.5,goa,15.5729,73.7522, Baga Beach one
Calangute Beach,Calangute,Beach,"Calangute Beach is the largest and busiest beach in North Goa. It is known for its golden sand, clear waters, and a range of water sports. Visitors can sunbathe, swim, try water activities, and explore the nearby markets and restaurants.",4.4,goa,15.556,73.7547, Calangute Beach North Goa
Anjuna Beach,Anjuna,Beach,"Anjuna Beach is famous for its hippie culture and weekly flea market. It offers a unique vibe with live music, beach parties, and shopping for clothes, jewelry, and souvenirs. Visitors can relax on the beach, enjoy the vibrant atmosphere, and shop at the flea market.",4.3,goa,15.5829,73.741, Anjuna Beach weekly
Dudhsagar Waterfalls,Sanguem,Waterfall,"Dudhsagar Waterfalls is one of the highest waterfalls in India. It cascades down from a height of over 300 meters, surrounded by lush greenery. Visitors can trek through the forest, swim in the pool beneath the falls, and admire the breathtaking natural beauty.",4.6,goa,15.314,74.3146, Dudhsagar Waterfalls India over 300 meters lush greenery
Fort Aguada,Sinquerim,Fort,"Fort Aguada is a well-preserved 17th-century Portuguese fort in Goa. It offers panoramic views of the Arabian Sea and the surrounding landscapes. Visitors can explore the fort's architecture, visit the lighthouse, and enjoy the scenic beauty from the fort walls.",4.4,goa,15.4963,73.7679, Fort Aguada 17th-century Portuguese Goa the Arabian Sea
Candolim Beach,Candolim,Beach,"Candolim Beach is a serene and less crowded beach in North Goa. It offers a tranquil atmosphere, water sports, and beachside shacks. Visitors can relax, take long walks along the shore, and enjoy the beautiful sunset views.",4.2,goa,15.518,73.7626, Candolim Beach North Goa
Palolem Beach,Canacona,Beach,"Palolem Beach is a stunning crescent-shaped beach in South Goa. It is known for its scenic beauty, calm waters, and laid-back atmosphere. Visitors can relax on the golden sand, take a boat ride, and indulge in beachside dining.",4.5,goa,15.0097,74.0234, Palolem Beach South Goa
Morjim Beach,Morjim,Beach,"Morjim Beach is a pristine beach known for its serene ambiance and Olive Ridley turtle nesting site. It offers a tranquil setting, scenic views, and a chance to spot migratory birds. Visitors can relax, enjoy water sports, and witness the unique wildlife.",4.3,goa,15.6319,73.7317, Morjim Beach Olive Ridley
Chapora Fort,Chapora,Fort,"Chapora Fort is a popular tourist attraction in Goa, known for its panoramic views of the Arabian Sea and the nearby Vagator Beach. It is a popular spot to watch the sunset and offers a glimpse into the history of Goa. Visitors can explore the fort's ruins and enjoy the scenic beauty.",4.2,goa,15.6055,73.7386, Chapora Fort Goa the Arabian Sea Vagator Beach Goa
Vagator Beach,Vagator,Beach,"Vagator Beach is a scenic beach in North Goa known for its dramatic cliffs, golden sand, and vibrant nightlife. It offers a mix of relaxation, water sports, and beach parties. Visitors can enjoy sunbathing, swimming, and exploring the nearby attractions.",4.3,goa,15.601,73.7396, Vagator Beach North Goa
Colva Beach,Colva,Beach,"Colva Beach is one of the largest and most popular beaches in South Goa. It offers a long stretch of white sand, clear waters, and beachside shacks. Visitors can relax, take a leisurely stroll, and enjoy water sports and beach activities.",4.2,goa,15.2729,73.9133, Colva Beach one South Goa
Mangueshi Temple,Ponda,Hindu Temple,"Mangueshi Temple is a famous Hindu temple dedicated to Lord Manguesh in Ponda, Goa. It is known for its beautiful architecture, intricate carvings, and religious significance. Visitors can seek blessings, participate in rituals, and learn about the local culture and traditions.",4.4,goa,15.3865,74.0182, Mangueshi Temple Hindu Manguesh Ponda Goa
Reis Magos Fort,Verem,Fort,"Reis Magos Fort is a historic fort located in Verem, Goa. It offers a glimpse into Goa's colonial past and offers panoramic views of the Mandovi River and the Arabian Sea. Visitors can explore the fort's museum, art gallery, and enjoy the scenic surroundings.",4.2,goa,15.5167,73.8042," Reis Magos Fort Verem, Goa Goa the Mandovi River the Arabian Sea"
Naval Aviation Museum,Bogmalo,Museum,"Naval Aviation Museum is a unique museum in Goa that showcases the history and heritage of Indian Naval Aviation. It displays various aircraft, weapons, and artifacts related to naval aviation. Visitors can learn about the Indian Navy's achievements and explore the museum's exhibits.",4.3,goa,15.3794,73.8158, Naval Aviation Museum Goa Indian Naval Aviation the Indian Navy's
Bondla Wildlife Sanctuary,Bondla,Wildlife Sanctuary,"Bondla Wildlife Sanctuary is a small but beautiful wildlife sanctuary in Goa. It is home to various animal species, including deer, monkeys, birds, and reptiles. Visitors can explore the sanctuary through nature trails, visit the mini zoo, and enjoy picnics in the lush surroundings.",4.2,goa,15.4676,74.0674, Goa
Mollem National Park,Mollem,National Park,"Mollem National Park is a popular nature reserve located in the Western Ghats of Goa. It is known for its rich biodiversity, waterfalls, and trekking trails. Visitors can spot various wildlife species, explore the Dudhsagar Waterfalls, and enjoy nature walks in the lush greenery.",4.3,goa,15.3023,74.194, Mollem National Park the Western Ghats of Goa
Ashwem Beach,Ashwem,Beach,"Ashwem Beach is a serene and less crowded beach in North Goa. It offers a peaceful atmosphere, pristine shoreline, and picturesque sunsets. Visitors can relax, indulge in yoga and meditation, and enjoy beachside dining at the shacks.",4.4,goa,15.6489,73.7246, Ashwem Beach North Goa
Mhadei Wildlife Sanctuary,Mollem,Wildlife Sanctuary,"Mhadei Wildlife Sanctuary is a protected area in Goa known for its diverse flora and fauna. It is home to elusive animals like the Bengal tiger, leopard, and black panther. Visitors can explore the sanctuary through trekking trails, birdwatching, and wildlife spotting.",4.2,goa,15.41,74.1523, Mhadei Sanctuary Goa Bengal
Mandrem Beach,Mandrem,Beach,"Mandrem Beach is a pristine and secluded beach in North Goa. It is known for its natural beauty, tranquil ambiance, and dolphin spotting. Visitors can relax, take long walks, and enjoy water sports in a peaceful setting.",4.3,goa,15.6742,73.7037, Mandrem Beach North Goa
Cotigao Wildlife Sanctuary,Cancona,Wildlife Sanctuary,"Cotigao Wildlife Sanctuary is a picturesque sanctuary located in South Goa. It is known for its dense forests, diverse wildlife, and trekking trails. Visitors can spot animals like Indian gaur, sloth bear, and various bird species. The sanctuary also has a watchtower for panoramic views.",4.1,goa,14.9996,74.0327, Wildlife Sanctuary South Goa Indian
Ashvem-Morjim Beach,Ashvem,Beach,"Ashvem-Morjim Beach is a beautiful stretch of coastline in North Goa. It offers a serene and less crowded atmosphere, making it perfect for relaxation and peaceful walks. Visitors can enjoy sunbathing, swimming, and spotting Olive Ridley turtles during nesting season.",4.3,goa,15.6477,73.7262, Ashvem-Morjim Beach North Goa Olive Ridley
Terekhol Fort,Terekhol,Fort,"Terekhol Fort, also known as Fort Tiracol, is a historic fort located on the northernmost tip of Goa. It offers panoramic views of the Arabian Sea and the Terekhol River. Visitors can explore the fort's museum, enjoy a stay at the heritage hotel, and witness the breathtaking sunsets.",4.4,goa,15.7272,73.6934, Terekhol Fort Fort Tiracol the Arabian Sea the Terekhol River
Cavelossim Beach,Cavelossim,Beach,"Cavelossim Beach is a serene and scenic beach in South Goa. It is known for its pristine beauty, soft sand, and tranquility. Visitors can relax, enjoy water sports, and witness the stunning sunsets over the Arabian Sea.",4.2,goa,15.1793,73.9553, Cavelossim Beach South Goa the Arabian Sea
Big Foot Cross Museum,Loutolim,Museum,"Big Foot Cross Museum, also known as Ancestral Goa, is a unique museum that showcases Goan rural life and culture. It features a collection of ancient crosses, traditional artifacts, and a sculpture park. Visitors can explore the museum, learn about Goan traditions, and witness cultural performances.",4.2,goa,15.3346,73.9955, Big Foot Cross Museum Ancestral Goa Goan Goan
Ashvem Beach,Ashvem,Beach,"Ashvem Beach is a beautiful and serene beach in North Goa. It offers a peaceful ambiance, soft sand, and clear waters. Visitors can relax, indulge in beachside yoga and meditation, and enjoy the tranquil surroundings.",4.3,goa,15.6496,73.7265, Ashvem Beach North Goa
Arvalem Waterfall,Sanquelim,Waterfall,"Arvalem Waterfall, also known as Harvalem Waterfall, is a scenic waterfall located in Sanquelim, Goa. It cascades down from a height of about 50 meters amidst lush green surroundings. Visitors can enjoy the natural beauty, take a refreshing dip in the pool, and picnic in the nearby park.",4.2,goa,15.5827,74.0136," Arvalem Waterfall Harvalem Waterfall Sanquelim, Goa about 50 meters"
Museum of Goa,Pilerne,Museum,"Museum of Goa is a contemporary art museum that showcases the works of local and international artists. It exhibits a diverse collection of paintings, sculptures, installations, and multimedia art. Visitors can explore the museum, attend art workshops, and appreciate the creative expressions.",4.3,goa,15.5811,73.7747, Museum of Goa
Chorla Ghat,Valpoi,Hill Station,"Chorla Ghat is a picturesque hill station located on the Goa-Karnataka-Maharashtra border. It is known for its lush green landscapes, waterfalls, and trekking trails. Visitors can enjoy nature walks, birdwatching, and breathtaking views of the Western Ghats.",4.3,goa,15.6046,74.0672, Chorla Ghat the Goa-Karnataka-Maharashtra the Western Ghats
Shri Mangeshi Temple,Mangeshi,Hindu Temple,"Shri Mangeshi Temple is a famous Hindu temple dedicated to Lord Shiva in Mangeshi, Goa. It is known for its beautiful architecture and religious significance. Visitors can seek blessings, admire the temple's intricate carvings, and experience the spiritual ambiance.",4.4,goa,15.4117,73.9812, Mangeshi Temple Hindu Shiva Mangeshi Goa
Bhagwan Mahaveer Wildlife Sanctuary,Molem,Wildlife Sanctuary,"Bhagwan Mahaveer Wildlife Sanctuary is a sprawling wildlife sanctuary located in Molem, Goa. It is home to various animal species, including the elusive Bengal tiger, leopard, and Indian bison. Visitors can explore the sanctuary through trekking trails, jeep safaris, and spot wildlife in their natural habitat.",4.3,goa,15.393,74.206, Bhagwan Mahaveer Sanctuary Molem Bengal Indian safaris
Bambolim Beach,Bambolim,Beach,"Bambolim Beach is a serene and less crowded beach located near Panjim, Goa. It offers a peaceful atmosphere, scenic views, and a tranquil shoreline. Visitors can relax, enjoy beach walks, and admire the natural beauty of the surroundings.",4.2,goa,15.434,73.8463, Bambolim Beach Panjim Goa
Talpona Beach,Talpona,Beach,"Talpona Beach is a secluded and pristine beach in South Goa. It offers a tranquil and unspoiled environment, perfect for relaxation and solitude. Visitors can enjoy long walks, sunbathing, and experience the untouched beauty of the beach.",4.2,goa,15.0155,74.0884, Talpona Beach South Goa
Bandhavgarh National Park,Umaria,National Park,"Bandhavgarh National Park is one of the popular national parks in India known for its high density of tigers. It offers a unique wildlife experience with its diverse flora and fauna. Visitors can go on jeep safaris, spot tigers, and explore the scenic landscapes.",4.5,madhya pradesh,23.7244,81.0268, Bandhavgarh National Park India jeep safaris
Kanha National Park,Mandla,National Park,"Kanha National Park is one of the largest and well-preserved national parks in Madhya Pradesh. It is known for its rich biodiversity and is home to various wildlife species, including tigers, leopards, and barasingha. Visitors can enjoy wildlife safaris, birdwatching, and immerse themselves in the natural beauty of the park.",4.4,madhya pradesh,22.3554,80.6218, Kanha National Park Madhya Pradesh safaris
Orchha Fort Complex,Orchha,Fort,"Orchha Fort Complex is a historical site known for its palaces, temples, and cenotaphs. It reflects the grandeur of the Bundela dynasty and offers a glimpse into the rich cultural heritage of Madhya Pradesh. Visitors can explore the fort complex, admire the architectural marvels, and witness the light and sound show.",4.4,madhya pradesh,25.3481,78.6428, Bundela Madhya Pradesh
Pachmarhi Hill Station,Pachmarhi,Hill Station,"Pachmarhi is a popular hill station nestled in the Satpura Range of Madhya Pradesh. It is known for its pleasant climate, scenic beauty, and cascading waterfalls. Visitors can enjoy nature walks, trekking, and explore attractions like Jata Shankar Caves, Bee Falls, and Dhupgarh.",4.4,madhya pradesh,22.4674,78.4348, the Satpura Range of Madhya Pradesh Jata Shankar Caves Bee Falls Dhupgarh
Bhopal Upper Lake,Bhopal,Lake,"The Upper Lake in Bhopal is one of the largest artificial lakes in Asia. It is a serene water body offering boating facilities, lakeside promenades, and panoramic views. Visitors can enjoy boating, witness beautiful sunsets, and relax in the peaceful surroundings of the lake.",4.3,madhya pradesh,23.244,77.4149, The Upper Lake Bhopal Asia
Omkareshwar Temple,Khandwa,Hindu Temple,"Omkareshwar Temple is a renowned Hindu temple dedicated to Lord Shiva located on the island of Mandhata in the Narmada River. It is one of the 12 Jyotirlinga temples in India and attracts devotees from all over. Visitors can seek blessings, participate in religious rituals, and enjoy the scenic surroundings.",4.4,madhya pradesh,22.2227,76.441, Omkareshwar Temple Hindu Shiva Mandhata the Narmada River one 12 India
Chanderi Fort,Chanderi,Fort,"Chanderi Fort is a historic fort perched on a hilltop in Chanderi. It is known for its architectural grandeur and panoramic views of the surrounding town. Visitors can explore the fort complex, visit ancient structures like Kirti Durg and Jama Masjid, and immerse themselves in the historical significance of the place.",4.3,madhya pradesh,24.7112,78.1397, Chanderi Fort Chanderi Kirti Durg Jama Masjid
Mahakaleshwar Temple,Ujjain,Hindu Temple,"Mahakaleshwar Temple is one of the most important Hindu temples dedicated to Lord Shiva in Ujjain. It is one of the 12 Jyotirlinga temples and holds immense religious significance. Visitors can attend the daily rituals, experience the divine ambiance, and seek blessings at this revered temple.",4.5,madhya pradesh,23.1793,75.7852, Hindu Shiva Ujjain one 12 daily
Mandu Fort,Mandu,Fort,"Mandu Fort, also known as Mandavgarh, is a magnificent fort complex in Mandu. It is known for its grand architecture, palaces, and historical ruins. Visitors can explore the fort, visit landmarks like Jahaz Mahal and Hindola Mahal, and enjoy panoramic views of the surrounding landscape.",4.4,madhya pradesh,22.344,75.4079, Mandu Fort Mandavgarh Mandu Jahaz Mahal Hindola Mahal
Dhuandhar Falls,Bhedaghat,Waterfall,"Dhuandhar Falls is a popular waterfall located in Bhedaghat, near Jabalpur. The Narmada River cascades down with great force, creating a spectacle of mist and sound. Visitors can witness the powerful waterfall, take a boat ride in the marble canyon, and enjoy the breathtaking natural beauty.",4.4,madhya pradesh,23.1882,79.8721, Dhuandhar Falls Bhedaghat Jabalpur Narmada River
