Place Name,Location,Category,Description,Rating,State,latitude,longitude
Bumla Pass,Tawang,Scenic,Bumla Pass is a mountain pass situated at the Indo-China border in Tawang district. It is known for its strategic importance and offers panoramic views of the snow-clad mountains and pristine landscapes. Visitors require special permits to visit Bumla Pass and experience its natural beauty.,4.5,arunachal pradesh,28.2085,91.9612
Sangestar Tso Lake,Tawang,Lake,"Sangestar Tso Lake, also known as Pankang Teng Tso Lake, is a stunning high-altitude lake located in Tawang district. It is surrounded by snow-capped mountains and offers breathtaking views of the natural beauty. The lake is considered sacred by the local Monpa tribe.",4.3,arunachal pradesh,28.2123,91.7212
Dong Valley,Anjaw,Valley,"Dong Valley is a hidden gem located in Anjaw district. It is a picturesque valley surrounded by lush forests, gushing rivers, and scenic landscapes. The valley offers opportunities for trekking, birdwatching, and exploring the unique flora and fauna of the region.",4.2,arunachal pradesh,28.4153,96.9657
Daporijo,Upper Subansiri,Town,"Daporijo is a scenic town situated in Upper Subansiri district. It is known for its beautiful landscapes, gorges, and rivers. The town provides a glimpse into the indigenous tribal culture of the Tagin tribe. Visitors can explore traditional villages, enjoy nature walks, and experience the warm hospitality of the locals.",4.2,arunachal pradesh,27.7802,94.204
Namdapha Tiger Reserve,Changlang,Wildlife Sanctuary,"Namdapha Tiger Reserve is a renowned wildlife sanctuary located in Changlang district. It is one of the largest protected areas in the Eastern Himalayas and is known for its diverse flora and fauna. The reserve is home to elusive species like the Bengal tiger, clouded leopard, and snow leopard.",4.4,arunachal pradesh,27.1782,96.6036
Mehao Lake,Lower Dibang Valley,Lake,"Mehao Lake is a serene lake situated in Lower Dibang Valley district. It is surrounded by lush greenery and offers a peaceful environment for nature lovers. The lake is known for its clear turquoise waters and is a great spot for boating, picnicking, and enjoying the natural beauty.",4.3,arunachal pradesh,28.1265,96.8289
Pakhui Wildlife Sanctuary,East Kameng,Wildlife Sanctuary,"Pakhui Wildlife Sanctuary, also known as Pakke Tiger Reserve, is a biodiversity hotspot located in East Kameng district. It is a haven for wildlife enthusiasts and nature lovers, with a wide range of flora and fauna. The sanctuary is home to several endangered species, including the Bengal tiger and the hornbill.",4.5,arunachal pradesh,27.0271,92.5563
Malinithan,Likabali,Archaeological,Malinithan is an archaeological site located in Likabali. It is known for its ancient temple ruins and sculptures dedicated to Goddess Durga. The site has significant historical and religious importance and attracts visitors interested in archaeology and ancient Indian art.,4.2,arunachal pradesh,27.5688,94.9321
Talley Valley,Talley,Valley,"Talley Valley is a picturesque valley located in the Ziro Valley region. It is known for its scenic beauty, lush green landscapes, and terraced rice fields. The valley is a perfect destination for nature enthusiasts and offers opportunities for hiking, birdwatching, and exploring the local culture.",4.3,arunachal pradesh,27.5986,93.6003
Bap Teng Kang,Seppa,Scenic,"Bap Teng Kang, also known as Eagle's Nest Wildlife Sanctuary, is a scenic destination situated near Seppa. It is known for its diverse wildlife, including the endangered Arunachal macaque and various bird species. The sanctuary offers stunning views of the surrounding mountains and dense forests.",4.4,arunachal pradesh,27.2352,93.8264
Pangchen Lakhar,Tawang,Historical,"Pangchen Lakhar, also known as the Tawang War Memorial, is a historical site dedicated to the soldiers who sacrificed their lives during the 1962 Indo-China war. It serves as a memorial and a symbol of patriotism. The site offers panoramic views of the Tawang Valley and the mighty Himalayas.",4.6,arunachal pradesh,27.6181,91.8653
Dibang Valley,Dibang Valley,Valley,"Dibang Valley is a remote and untouched valley located in the Dibang Valley district. It is known for its pristine beauty, snow-clad peaks, and meandering rivers. The valley is home to diverse flora and fauna, including the Mishmi takin and the red panda. It offers opportunities for trekking, wildlife spotting, and experiencing the tranquility of nature.",4.3,arunachal pradesh,28.0123,95.4657
Bomdila View Point,Bomdila,Scenic,"Bomdila View Point is a popular tourist spot located in Bomdila. It offers panoramic views of the Himalayan mountain ranges, including the majestic Kangto and Gorichen peaks. The view point is an ideal place to witness stunning sunrises and sunsets amidst the breathtaking landscapes.",4.4,arunachal pradesh,27.3,92.422
Tirap,Changlang,Town,"Tirap is a scenic town situated in Changlang district. It is known for its natural beauty, lush green valleys, and rich cultural heritage. The town offers a glimpse into the unique traditions and lifestyles of the local tribes, including the Nocte and Wancho tribes.",4.2,arunachal pradesh,27.18,95.25
Bhalukpong Fort,Bhalukpong,Historical,"Bhalukpong Fort is a historic fort located in Bhalukpong town. It is believed to have been built during the reign of King Bhaluka, giving the town its name. The fort showcases architectural remnants from the past and offers insights into the region's historical significance.",4.1,arunachal pradesh,27.0333,92.5833
Mouling National Park,West Siang,Wildlife Sanctuary,"Mouling National Park is a renowned national park located in West Siang district. It is known for its diverse wildlife, including the clouded leopard, takin, and several species of birds. The park is a paradise for nature lovers and offers opportunities for jungle safaris and birdwatching.",4.5,arunachal pradesh,28.2494,94.7805
Sangti,Dirang,Scenic,"Sangti is a beautiful village located near Dirang. It is known for its vast apple orchards, scenic landscapes, and the Sangti Khola River. The village is a perfect destination for nature walks, birdwatching, and experiencing the local rural lifestyle.",4.3,arunachal pradesh,27.3493,92.1612
Bhalukpong Orchidarium,Bhalukpong,Flower Garden,"Bhalukpong Orchidarium is a captivating flower garden located in Bhalukpong. It is home to a wide variety of orchids, including rare and endangered species. The orchidarium offers a mesmerizing display of colorful blooms and provides insights into the diverse flora of the region.",4.2,arunachal pradesh,27.033,92.5837
Rupa,Rupa,Town,"Rupa is a small town situated in the West Kameng district. It is known for its scenic beauty, apple orchards, and tea gardens. The town offers a peaceful environment, picturesque landscapes, and opportunities for nature walks and birdwatching.",4.1,arunachal pradesh,27.4562,92.2537
Kakochang Waterfalls,Jorhat,Waterfall,"Kakochang Waterfalls is a captivating waterfall located near Jorhat. It is known for its scenic beauty, cascading water, and tranquil surroundings. The waterfall offers a refreshing retreat amidst nature and is an ideal spot for picnics and photography.",4.4,assam,26.6639,93.215
Dibru-Saikhowa National Park,Dibrugarh and Tinsukia,Wildlife Sanctuary,"Dibru-Saikhowa National Park is a biodiversity hotspot located in Dibrugarh and Tinsukia districts. It is known for its unique combination of wetland and forest ecosystems. The park is home to several rare and endangered species, including the white-winged wood duck and the Bengal florican.",4.5,assam,27.3333,95.55
Majuli Cultural Festival,Jorhat,Cultural Festival,"Majuli Cultural Festival is an annual cultural extravaganza held on the banks of the Brahmaputra River in Majuli. It showcases the vibrant culture, traditional music, dance, and art forms of the region. The festival is a celebration of Assamese heritage and provides a platform for local artists to showcase their talent.",4.4,assam,26.9526,94.202
Sualkuchi,Sualkuchi,Handloom Village,"Sualkuchi is a renowned handloom village located near Guwahati. It is known as the 'Manchester of the East' due to its rich heritage of silk weaving. The village is famous for producing exquisite silk fabrics like Muga silk and Assam silk. Visitors can explore the handloom units, witness the weaving process, and buy authentic silk products.",4.3,assam,26.1461,91.6745
Hajo,Hajo,Historical,"Hajo is a historic town located on the banks of the Brahmaputra River. It is known for its religious significance and houses several important temples, including the Hayagriva Madhava Temple, Powa Mecca Mosque, and Kedareswara Temple. Hajo is considered a sacred place by Hindus, Muslims, and Buddhists.",4.2,assam,26.2476,91.5731
Kolia Bhomora Setu,Tezpur,Bridge,Kolia Bhomora Setu is a magnificent bridge that spans the Brahmaputra River near Tezpur. It is named after the Ahom general Kolia Bhomora Phukan and is an engineering marvel. The bridge provides a picturesque view of the river and connects the districts of Sonitpur and Nagaon.,4.1,assam,26.6463,92.7903
Nameri National Park,Sonitpur,Wildlife Sanctuary,"Nameri National Park is a scenic wildlife sanctuary located in Sonitpur district. It is known for its rich biodiversity, including tigers, elephants, leopards, and several species of birds. The park offers activities like river rafting, birdwatching, and jungle treks, allowing visitors to explore its natural beauty.",4.3,assam,26.7906,92.6957
Assam State Museum,Guwahati,Museum,"Assam State Museum is a prominent museum located in Guwahati. It houses a vast collection of artifacts, sculptures, paintings, and manuscripts that depict the history, culture, and heritage of Assam. The museum is a treasure trove of knowledge and provides insights into the state's rich cultural past.",4.2,assam,26,
Assam State Zoo cum Botanical Garden,Guwahati,Zoo and Botanical Garden,"Assam State Zoo cum Botanical Garden, also known as Guwahati Zoo, is a popular tourist attraction in Guwahati. It is home to a wide variety of animals, including tigers, rhinoceroses, leopards, and various bird species. The zoo also features a botanical garden with a diverse collection of plants and trees.",4.3,assam,26.1677,91.7782
Digboi,Digboi,Historical,"Digboi is an oil town located in the Tinsukia district. It is known for its rich oil reserves and historical significance in the oil industry of India. Digboi features attractions such as the Digboi Oil Museum, Digboi War Cemetery, and the century-old Digboi Refinery.",4.1,assam,27.3909,95.6283
Haflong,Haflong,Hill Station,"Haflong is the only hill station in Assam, situated in the Dima Hasao district. It is known for its picturesque landscapes, rolling hills, and pleasant climate. Haflong offers opportunities for trekking, paragliding, and enjoying the scenic beauty of the region.",4.2,assam,25.1656,93.0158
Panimur Waterfalls,Dima Hasao,Waterfall,"Panimur Waterfalls is a stunning waterfall located in the Dima Hasao district. It is known for its breathtaking beauty, surrounded by lush greenery and rocky cliffs. The waterfall is an ideal spot for nature lovers, photographers, and those seeking tranquility.",4.3,assam,25.2914,93.0529
Tocklai Tea Research Institute,Jorhat,Research Institute,"Tocklai Tea Research Institute is an esteemed research institute dedicated to the study and development of tea. It is located in Jorhat and conducts research on tea cultivation, processing techniques, and tea tasting. The institute also has a museum that showcases the history and evolution of tea in Assam.",4.1,assam,26.7956,94.1925
Orang National Park,Darrang and Sonitpur,Wildlife Sanctuary,"Orang National Park, also known as Rajiv Gandhi Orang National Park, is a wildlife sanctuary located in the Darrang and Sonitpur districts. It is known for its diverse wildlife, including the Indian rhinoceros, tigers, elephants, and various bird species. The park offers jeep safaris and birdwatching opportunities.",4.2,assam,26.6447,92.0833
Kareng Ghar,Dibrugarh,Historical,"Kareng Ghar, also known as Talatal Ghar, is a historical monument located in Dibrugarh. It was once the royal palace of the Ahom kings and is known for its unique architectural style. The monument features underground passages, secret chambers, and a multi-storied structure, showcasing the grandeur of the Ahom dynasty.",4.1,assam,27.4728,94.9179
Tea Gardens of Assam,Various Districts,Plantation,"The tea gardens of Assam are a major highlight of the state. Spread across various districts, these lush green plantations produce some of the finest tea in the world. Visitors can explore the tea estates, witness the tea plucking and processing techniques, and enjoy a cup of authentic Assam tea.",4.3,assam,26.2006,92.9376
Pani Dihing Wildlife Sanctuary,Tinsukia,Wildlife Sanctuary,"Pani Dihing Wildlife Sanctuary is located in Tinsukia district and is known for its diverse flora and fauna. The sanctuary is home to various species of animals, including elephants, tigers, leopards, and primates. It offers opportunities for wildlife spotting, nature walks, and birdwatching.",4.2,assam,27.4525,95.3337
Silchar,Silchar,City,"Silchar is the second-largest city in Assam, situated in the Cachar district. It is known for its scenic beauty, lush tea gardens, and cultural diversity. Silchar offers attractions such as the Kachari Fort, Bhubaneswar Temple, and the picturesque Barak River.",4.1,assam,24.8333,92.7782
Bordua Tea Estate,Tinsukia,Plantation,"Bordua Tea Estate is a renowned tea plantation located in Tinsukia district. It is known for producing high-quality Assam tea and offers a unique tea tourism experience. Visitors can explore the tea gardens, interact with tea workers, and learn about the tea manufacturing process.",4.2,assam,27.5375,95.4007
Sualkuchi Silk Village,Sualkuchi,Handloom Village,"Sualkuchi Silk Village is a traditional weaving village famous for its silk products. Located near Guwahati, it is known for producing exquisite silk fabrics like Muga silk and Assam silk. Visitors can witness the weaving process, buy authentic silk products, and explore the village's cultural heritage.",4.3,assam,26.1461,91.6745
Bherjan-Borajan-Padumoni Wildlife Sanctuary,Tinsukia,Wildlife Sanctuary,"Bherjan-Borajan-Padumoni Wildlife Sanctuary is a wildlife sanctuary located in Tinsukia district. It is known for its rich biodiversity, including various species of primates, birds, and reptiles. The sanctuary offers nature trails, birdwatching, and wildlife photography opportunities.",4.1,assam,27.604,95.4972
Kaziranga Golf Resort,Jorhat,Golf Resort,"Kaziranga Golf Resort is a picturesque golf resort located in Jorhat. It offers a scenic 18-hole golf course surrounded by tea gardens and lush greenery. The resort provides a serene environment, luxurious accommodation, and recreational facilities for golf enthusiasts.",4.2,assam,26.7437,94.1697
Diphu,Karbi Anglong,City,"Diphu is a charming town situated in the Karbi Anglong district. It is known for its natural beauty, tribal culture, and festivals. Diphu offers attractions such as the Botanical Garden, Semson Sing Ingti Memorial, and opportunities for trekking in the nearby hills.",4.1,assam,25.84,93.4365
Hollongapar Gibbon Wildlife Sanctuary,Jorhat,Wildlife Sanctuary,"Hollongapar Gibbon Wildlife Sanctuary is located in Jorhat district and is known for its conservation of the hoolock gibbons, the only ape species found in India. The sanctuary is also home to various bird species, reptiles, and butterflies. It offers nature trails and wildlife sighting opportunities.",4.2,assam,26.7487,94.2626
Kamakhya Temple,Guwahati,Hindu Temple,"Kamakhya Temple is a renowned Hindu temple located on the Nilachal Hill in Guwahati. It is dedicated to the goddess Kamakhya and is one of the most important pilgrimage sites in Assam. The temple architecture, rituals, and the annual Ambubachi Mela attract devotees and tourists from across the country.",4.6,assam,26.1661,91.7692
Manas National Park,Chirang and Baksa,Wildlife Sanctuary,"Manas National Park is a UNESCO World Heritage Site located in Chirang and Baksa districts. It is known for its exceptional biodiversity, including the endangered Bengal tiger, Indian rhinoceros, and pygmy hog. The park offers jeep safaris, elephant rides, and birdwatching, allowing visitors to experience its natural splendor.",4.5,assam,26.7205,91.009
Sivasagar,Sivasagar,Historical,"Sivasagar, also known as Rangpur, is a historic town known for its rich Ahom architecture and monuments. It was the capital of the Ahom Kingdom and features attractions such as the Sivasagar Sivadol, Rang Ghar, and Talatal Ghar. Sivasagar showcases the cultural heritage and grandeur of the Ahom dynasty.",4.4,assam,26.984,94.6406
Kakochang Waterfalls,Jorhat,Waterfall,"Kakochang Waterfalls is a captivating waterfall located near Jorhat. It is known for its scenic beauty, cascading water, and tranquil surroundings. The waterfall offers a refreshing retreat amidst nature and is an ideal spot for picnics and photography.",4.4,assam,26.6639,93.215
Dibru-Saikhowa National Park,Dibrugarh and Tinsukia,Wildlife Sanctuary,"Dibru-Saikhowa National Park is a biodiversity hotspot located in Dibrugarh and Tinsukia districts. It is known for its unique combination of wetland and forest ecosystems. The park is home to several rare and endangered species, including the white-winged wood duck and the Bengal florican.",4.5,assam,27.3333,95.55
Majuli Cultural Festival,Jorhat,Cultural Festival,"Majuli Cultural Festival is an annual cultural extravaganza held on the banks of the Brahmaputra River in Majuli. It showcases the vibrant culture, traditional music, dance, and art forms of the region. The festival is a celebration of Assamese heritage and provides a platform for local artists to showcase their talent.",4.4,assam,26.9526,94.202
Sualkuchi,Sualkuchi,Handloom Village,"Sualkuchi is a renowned handloom village located near Guwahati. It is known as the 'Manchester of the East' due to its rich heritage of silk weaving. The village is famous for producing exquisite silk fabrics like Muga silk and Assam silk. Visitors can explore the handloom units, witness the weaving process, and buy authentic silk products.",4.3,assam,26.1461,91.6745
Hajo,Hajo,Historical,"Hajo is a historic town located on the banks of the Brahmaputra River. It is known for its religious significance and houses several important temples, including the Hayagriva Madhava Temple, Powa Mecca Mosque, and Kedareswara Temple. Hajo is considered a sacred placefor Hindus, Muslims, and Buddhists, making it a unique cultural and religious hub.",4.3,assam,26.2504,91.4234
Umananda Island,Guwahati,Island,"Umananda Island is a river island located in the Brahmaputra River in Guwahati. It is home to the Umananda Temple, dedicated to Lord Shiva. The island offers scenic views of the river, and visitors can reach it by ferry. It is a popular destination for pilgrims and nature lovers.",4.4,assam,26.1527,91.7669
Tinsukia,Tinsukia,City,"Tinsukia is a bustling city located in the Tinsukia district. It serves as an important commercial and industrial hub in Assam. Tinsukia offers attractions such as the Dibru-Saikhowa National Park, Shiv Dham Temple, and the historic Digboi town known for its oil reserves.",4.2,assam,27.5001,95.3559
Dibrugarh,Dibrugarh,City,"Dibrugarh is a vibrant city located in the Dibrugarh district. It is known as the 'Tea City of India' due to its significant contribution to the tea industry. Dibrugarh offers attractions such as the Brahmaputra Riverfront, Namdang Stone Bridge, and the scenic Dibru-Saikhowa National Park.",4.3,assam,27.4728,94.9119
Pobitora Wildlife Sanctuary,Morigaon,Wildlife Sanctuary,Pobitora Wildlife Sanctuary is located in the Morigaon district and is known for its dense population of the Indian one-horned rhinoceros. The sanctuary also houses various other animals and bird species. Visitors can enjoy jeep safaris and elephant rides to observe the wildlife in their natural habitat.,4.4,assam,26.4249,92.2356
Jorhat,Jorhat,City,"Jorhat is a cultural and educational hub located in the Jorhat district. It is known for its tea gardens, historical sites, and vibrant art and literature scene. Jorhat offers attractions such as the Majuli Island, Kaziranga Golf Resort, and the Tocklai Tea Research Institute.",4.2,assam,26.757,94.2094
Bogibeel Bridge,Dibrugarh and Dhemaji,Engineering Marvel,"Bogibeel Bridge is a remarkable engineering marvel and India's longest rail-cum-road bridge. It spans the Brahmaputra River, connecting Dibrugarh and Dhemaji districts. The bridge offers panoramic views of the river and surrounding landscapes, attracting visitors and photographers.",4.4,assam,27.4334,94.6924
Tezpur,Tezpur,City,"Tezpur is a historic city located on the banks of the Brahmaputra River. It is known for its ancient ruins, temples, and natural beauty. Tezpur offers attractions such as Agnigarh Hill, Da Parbatia Temple ruins, and the scenic Kalia Bhomora Bridge.",4.3,assam,26.6333,92.8
Barpeta Satra,Barpeta,Historical Site,Barpeta Satra is a famous Vaishnavite monastery located in Barpeta. It is one of the prominent Satras (monastic institutions) of Assam and holds cultural and religious significance. Barpeta Satra showcases the rich tradition of the Vaishnavite and offers insights into Assamese religious practices and art forms.,4.2,assam,26.321,91.0037
Gangtok,Gangtok,City,"Gangtok is the capital city of Sikkim and a popular tourist destination. It offers stunning views of the Himalayas, vibrant markets, and Buddhist monasteries. Visitors can explore attractions like the Rumtek Monastery, Tsomgo Lake, and the Enchey Monastery.",4.5,sikkim,27.3389,88.6065
Nathula Pass,East Sikkim,Mountain Pass,Nathula Pass is a high-altitude mountain pass located on the Indo-China border. It offers breathtaking views of the snow-capped Himalayas and is known for its strategic importance. Visitors can experience the border atmosphere and enjoy the scenic beauty of the surrounding landscapes.,4.4,sikkim,27.3974,88.8366
Tsomgo Lake,East Sikkim,Lake,"Tsomgo Lake, also known as Changu Lake, is a glacial lake located at an altitude of 3,753 meters. It is known for its serene beauty and changing colors throughout the year. Visitors can enjoy boating on the lake and take in the picturesque surroundings.",4.5,sikkim,27.3782,88.7998
Rumtek Monastery,East Sikkim,Buddhist Monastery,"Rumtek Monastery is a prominent Buddhist monastery and the largest in Sikkim. It is home to several precious artifacts, religious relics, and vibrant murals. Visitors can witness Buddhist rituals and explore the peaceful ambiance of the monastery.",4.4,sikkim,27.315,88.5968
Yumthang Valley,North Sikkim,Valley,"Yumthang Valley, also known as the Valley of Flowers, is a picturesque valley nestled in the Himalayas. It is renowned for its colorful alpine flowers that bloom during the spring season. Visitors can enjoy the scenic landscapes, hot springs, and panoramic views of snow-capped mountains.",4.5,sikkim,27.8136,88.6332
Pelling,West Sikkim,Hill Station,"Pelling is a charming hill station located in West Sikkim. It offers breathtaking views of the Kanchenjunga mountain range and is known for its tranquil ambiance. Visitors can explore attractions like the Pemayangtse Monastery, Khecheopalri Lake, and the Rabdentse Ruins.",4.3,sikkim,27.3232,88.2666
Gurudongmar Lake,North Sikkim,Lake,"Gurudongmar Lake is a sacred high-altitude lake located at an altitude of 5,430 meters. It is one of the highest lakes in the world and remains frozen during the winter months. The lake offers mesmerizing views of the surrounding snow-capped peaks and is considered holy by both Buddhists and Sikhs.",4.6,sikkim,28.0003,88.827
Lachung,North Sikkim,Village,"Lachung is a scenic mountain village located in North Sikkim. It is known for its natural beauty, waterfalls, and apple orchards. Visitors can explore attractions like the Lachung Monastery, Yumthang Valley, and the picturesque Bhim Nala Waterfall.",4.4,sikkim,27.7036,88.6319
Ravangla,South Sikkim,Hill Station,"Ravangla is a serene hill station located in South Sikkim. It is known for its panoramic views of the Himalayas, lush greenery, and peaceful environment. Visitors can explore attractions like the Buddha Park, Tathagata Tsal, and the Ralong Monastery.",4.3,sikkim,27.3142,88.3689
Namchi,South Sikkim,City,"Namchi is a vibrant city located in South Sikkim. It is known for its religious and cultural significance. Visitors can visit attractions like the Char Dham, Samdruptse Hill, and the Namchi Rock Garden for a peaceful retreat and panoramic views of the surrounding landscapes.",4.2,sikkim,27.167,88.3665
Yuksom,West Sikkim,Historical Town,"Yuksom is a historic town located in West Sikkim. It holds immense cultural and historical importance as it was the first capital of Sikkim. Visitors can explore attractions like the Dubdi Monastery, Norbugang Park, and enjoy trekking to the nearby scenic spots.",4.4,sikkim,27.3709,88.2175
Khangchendzonga National Park,North and West Sikkim,National Park,"Khangchendzonga National Park is a UNESCO World Heritage Site and one of the most bio-diverse areas in the Eastern Himalayas. It is home to various endangered species, including the snow leopard and red panda. Visitors can enjoy trekking, wildlife spotting, and marvel at the stunning landscapes.",4.5,sikkim,27.7819,88.7726
Tsongmo Lake,East Sikkim,Lake,"Tsongmo Lake, also known as Changu Lake, is a glacial lake located at an altitude of 3,753 meters. It is known for its serene beauty and changing colors throughout the year. Visitors can enjoy boating on the lake and take in the picturesque surroundings.",4.3,sikkim,27.3782,88.7998
Khecheopalri Lake,West Sikkim,Lake,Khecheopalri Lake is a sacred lake located in West Sikkim. It is considered as one of the holy lakes of Sikkim and is revered by both Buddhists and Hindus. The lake is surrounded by lush green forests and offers a tranquil atmosphere for visitors to experience.,4.2,sikkim,27.383,88.2879
Chungthang,North Sikkim,Town,"Chungthang is a small town located in North Sikkim. It is a significant stopover for tourists heading towards Lachung and Lachen. Chungthang offers scenic views of the Teesta River, and visitors can explore the Lepcha Heritage Museum and the Chungthang Monastery.",4.1,sikkim,27.7026,88.3503
Phodong Monastery,North Sikkim,Buddhist Monastery,"Phodong Monastery is an ancient Buddhist monastery located in North Sikkim. It is known for its intricate murals, Buddhist artifacts, and religious ceremonies. Visitors can witness the vibrant Buddhist culture and enjoy the serene surroundings of the monastery.",4.2,sikkim,27.3781,88.5395
Singalila National Park,West Sikkim,National Park,"Singalila National Park is located in the Singalila Range of the Himalayas, spanning across Sikkim and West Bengal. It offers breathtaking views of the Kanchenjunga mountain range and
Ravangla,South Sikkim,Hill Station,Ravangla is a serene hill station located in South Sikkim. It is known for its panoramic views of the Himalayas""",4.3,sikkim,27.3142,88.3689
Namchi,South Sikkim,City,"Namchi is a vibrant city located in South Sikkim. It is known for its religious and cultural significance. Visitors can visit attractions like the Char Dham, Samdruptse Hill, and the Namchi Rock Garden for a peaceful retreat and panoramic views of the surrounding landscapes.",4.2,sikkim,27.167,88.3665
Yuksom,West Sikkim,Historical Town,"Yuksom is a historic town located in West Sikkim. It holds immense cultural and historical importance as it was the first capital of Sikkim. Visitors can explore attractions like the Dubdi Monastery, Norbugang Park, and enjoy trekking to the nearby scenic spots.",4.4,sikkim,27.3709,88.2175
Khangchendzonga National Park,North and West Sikkim,National Park,"Khangchendzonga National Park is a UNESCO World Heritage Site and one of the most bio-diverse areas in the Eastern Himalayas. It is home to various endangered species, including the snow leopard and red panda. Visitors can enjoy trekking, wildlife spotting, and marvel at the stunning landscapes.",4.5,sikkim,27.7819,88.7726
Tsongmo Lake,East Sikkim,Lake,"Tsongmo Lake, also known as Changu Lake, is a glacial lake located at an altitude of 3,753 meters. It is known for its serene
Temi Tea Garden,South Sikkim,Tea Garden,Temi Tea Garden is the only tea estate in Sikkim and one of the most scenic tea gardens in India. It offers picturesque views of tea plantations",4.4,sikkim,27.2304,88.4584
Phensang Monastery,North Sikkim,Buddhist Monastery,"Phensang Monastery is a beautiful Buddhist monastery located in North Sikkim. It is known for its architectural beauty, colorful frescoes, and religious significance. Visitors can witness the chanting of monks, explore the monastery complex, and enjoy panoramic views of the valley.",4.3,sikkim,27.4033,88.5936
Rinchenpong,West Sikkim,Hill Station,"Rinchenpong is a picturesque hill station located in West Sikkim. It offers stunning views of the Himalayas, lush forests, and serene surroundings. Visitors can explore attractions like the Rinchenpong Monastery, Tashiding Monastery, and enjoy nature walks in the surrounding areas.",4.2,sikkim,27.2419,88.2663
Dzongri Trek,West Sikkim,Trekking,"Dzongri Trek is a popular trekking route in Sikkim that offers breathtaking views of the Kanchenjunga mountain range. It takes trekkers through lush rhododendron forests, alpine meadows, and high-altitude landscapes. Trekkers can experience the beauty of Sikkim's wilderness and camp at Dzongri.",4.6,sikkim,27.4976,88.1167
Kabi Longstok,South Sikkim,Historical Site,Kabi Longstok is a historic site located in South Sikkim. It is known for its historical significance as it marks the signing of a blood brotherhood treaty between the Lepcha and Bhutia tribes. Visitors can visit the Kabi Longstok Kangchendzonga Ecological Park and learn about Sikkim's history.,4.1,sikkim,27.2373,88.3843
Seven Sisters Waterfalls,North Sikkim,Waterfall,"Seven Sisters Waterfalls, also known as Naga Falls, is a stunning waterfall located in North Sikkim. It is a collection of seven different waterfalls that cascade down the mountainside. Visitors can witness the beauty of these waterfalls and enjoy the natural surroundings.",4.2,sikkim,27.7412,88.4526
Yumesamdong (Zero Point),North Sikkim,Scenic Spot,"Yumesamdong, also known as Zero Point, is a high-altitude scenic spot located in North Sikkim. It offers breathtaking views of snow-capped mountains, alpine meadows, and pristine landscapes. Visitors can enjoy the surreal beauty of the place and experience the thrill of being at such a high altitude.",4.4,sikkim,28.0903,88.6393
Chopta Valley,North Sikkim,Valley,"Chopta Valley is a hidden gem in North Sikkim, known for its enchanting beauty and tranquility. It is surrounded by snow-capped mountains, alpine flowers, and gushing rivers. Visitors can soak in the natural beauty, go for nature walks, and capture stunning photographs.",4.5,sikkim,28.0637,88.6015
Rinchenpong,West Sikkim,Hill Station,"Rinchenpong is a picturesque hill station located in West Sikkim. It offers stunning views of the Himalayas, lush forests, and serene surroundings. Visitors can explore attractions like the Rinchenpong Monastery, Tashiding Monastery, and enjoy nature walks in the surrounding areas.",4.2,sikkim,27.2419,88.2663
Dzongri Trek,West Sikkim,Trekking,"Dzongri Trek is a popular trekking route in Sikkim that offers breathtaking views of the Kanchenjunga mountain range. It takes trekkers through lush rhododendron forests, alpine meadows, and high-altitude landscapes. Trekkers can experience the beauty of Sikkim's wilderness and camp at Dzongri.",4.6,sikkim,27.4976,88.1167
Kabi Longstok,South Sikkim,Historical Site,Kabi Longstok is a historic site located in South Sikkim. It is known for its historical significance as it marks the signing of a blood brotherhood treaty between the Lepcha and Bhutia tribes. Visitors can visit the Kabi Longstok Kangchendzonga Ecological Park and learn about Sikkim's history.,4.1,sikkim,27.2373,88.3843
Seven Sisters Waterfalls,North Sikkim,Waterfall,"Seven Sisters Waterfalls, also known as Naga Falls, is a stunning waterfall located in North Sikkim. It is a collection of seven different waterfalls that cascade down the mountainside. Visitors can witness the beauty of these waterfalls and enjoy the natural surroundings.",4.2,sikkim,27.7412,88.4526
Yumesamdong (Zero Point),North Sikkim,Scenic Spot,"Yumesamdong, also known as Zero Point, is a high-altitude scenic spot located in North Sikkim. It offers breathtaking views of snow-capped mountains, alpine meadows, and pristine landscapes. Visitors can enjoy the surreal beauty of the place and experience the thrill of being at such a high altitude.",4.4,sikkim,28.0903,88.6393
Chopta Valley,North Sikkim,Valley,"Chopta Valley is a hidden gem in North Sikkim, known for its enchanting beauty and tranquility. It is surrounded by snow-capped mountains, alpine flowers, and gushing rivers. Visitors can soak in the natural beauty, go for nature walks, and capture stunning photographs.",4.5,sikkim,28.0637,88.6015
Ravangla,South Sikkim,Hill Station,"Ravangla is a serene hill station located in South Sikkim. It is known for its panoramic views of the Himalayas, lush greenery, and peaceful environment. Visitors can explore attractions like the Buddha Park, Tathagata Tsal, and the Ralong Monastery.",4.3,sikkim,27.3142,88.3689
Namchi,South Sikkim,City,"Namchi is a vibrant city located in South Sikkim. It is known for its religious and cultural significance. Visitors can visit attractions like the Char Dham, Samdruptse Hill, and the Namchi Rock Garden for a peaceful retreat and panoramic views of the surrounding landscapes.",4.2,sikkim,27.167,88.3665
